time,x,y,z,rotation,,,
8:24:26,2.026651859,1.005040884,2.49574852,0.000819939,-0.997969925,-0.002672894,0.063626982
8:24:26,2.026590824,1.004874945,2.495826483,0.000292571,-0.997982383,-0.002290177,0.063450567
8:24:26,2.026572227,1.004886866,2.495765209,0.000253109,-0.997978806,-0.002309496,0.063506514
8:24:26,2.026579618,1.004868627,2.495824337,0.000286327,-0.997991025,-0.002358118,0.063310884
8:24:26,2.026581049,1.004871368,2.495793104,0.000253064,-0.997977436,-0.002366013,0.063524589
8:24:26,2.026602507,1.004849911,2.49587059,0.000195636,-0.997989357,-0.002421386,0.063335992
8:24:26,2.02664423,1.00505805,2.495743513,0.000776112,-0.997984648,-0.002634789,0.063396394
8:24:26,2.026554108,1.004884005,2.49574852,0.000365499,-0.997972906,-0.002208307,0.063602336
8:24:26,2.026571989,1.004862189,2.495806932,0.000245746,-0.997986555,-0.002333449,0.063382387
8:24:26,2.02657342,1.004880548,2.495728493,0.00025033,-0.99798274,-0.002242321,0.063445956
8:24:26,2.026580572,1.004889607,2.495764494,0.00026126,-0.997984886,-0.002347172,0.063408896
8:24:26,2.026566029,1.004872441,2.495712996,0.000305028,-0.997968376,-0.002200359,0.063673019
8:24:26,2.026611805,1.004858017,2.495825768,0.000200958,-0.997993648,-0.002354512,0.063270733
8:24:26,2.026591063,1.004888058,2.495702505,0.000258632,-0.997984469,-0.002318453,0.063415736
8:24:26,2.026586771,1.004881024,2.495705605,0.000244859,-0.997979283,-0.002157592,0.06350366
8:24:26,2.026589632,1.004894018,2.495786428,0.000245387,-0.997986019,-0.002525669,0.063384175
8:24:26,2.026581526,1.004857063,2.495750904,0.000247985,-0.997987688,-0.002189824,0.063370034
8:24:26,2.026587009,1.004871488,2.495697737,0.000253013,-0.997975051,-0.002107604,0.063572332
8:24:26,2.026591778,1.004874349,2.495794535,0.000223273,-0.997992873,-0.002254172,0.063286163
8:24:26,2.026569128,1.004890561,2.495702505,0.000297477,-0.997977674,-0.002150477,0.063529491
8:24:26,2.026652813,1.005031347,2.495691299,0.000769853,-0.997977495,-0.002451233,0.06351693
8:24:26,2.026587009,1.004850626,2.495815516,0.000255393,-0.997980595,-0.002398998,0.063474618
8:24:26,2.026596785,1.004853964,2.495746613,0.000246316,-0.997975945,-0.002277916,0.063552096
8:24:26,2.026585579,1.004883051,2.495783329,0.000286994,-0.997982144,-0.002217319,0.063456073
8:24:26,2.026566505,1.004864573,2.495716572,0.000285832,-0.997974217,-0.002040386,0.063587338
8:24:26,2.026583672,1.004875779,2.495770454,0.000304179,-0.997985005,-0.002270269,0.063410453
8:24:26,2.026570797,1.004879713,2.495759249,0.0002622,-0.997986317,-0.002216541,0.063391931
8:24:26,2.026580572,1.004884601,2.495773792,0.000255981,-0.997987628,-0.002309139,0.063367657
8:24:26,2.026673794,1.005048633,2.495770931,0.000746809,-0.997984588,-0.002558325,0.063401677
8:24:26,2.026569366,1.004887342,2.495727062,0.000275775,-0.997978091,-0.002276769,0.063517757
8:24:26,2.026596546,1.004885197,2.495727777,0.000281469,-0.997984946,-0.002155229,0.06341394
8:24:26,2.026598692,1.004860759,2.49576807,0.000202438,-0.997986615,-0.002291477,0.063384525
8:24:26,2.026571512,1.004854321,2.495749712,0.000211784,-0.997987807,-0.002161963,0.063369013
8:24:26,2.026582003,1.004864216,2.495774984,0.000261274,-0.997985423,-0.002183025,0.063405596
8:24:26,2.026576519,1.004876733,2.495785952,0.000282379,-0.997986853,-0.002233451,0.063382305
8:24:26,2.02657795,1.004899025,2.495651245,0.000314523,-0.997974515,-0.002075118,0.063581519
8:24:26,2.026570797,1.004885912,2.495746851,0.000337462,-0.997983277,-0.002103757,0.063442938
8:24:26,2.026580811,1.004895926,2.495704174,0.000280677,-0.997985542,-0.002064761,0.063408703
8:24:26,2.026586056,1.004877567,2.495743752,0.000281725,-0.997976542,-0.00205568,0.063550122
8:24:26,2.026572227,1.004896641,2.495757103,0.000302321,-0.997983038,-0.002280902,0.063439503
8:24:26,2.026602268,1.004885197,2.495816708,0.000299548,-0.99799335,-0.002261073,0.063277341
8:24:26,2.026676178,1.005041718,2.495806217,0.00071873,-0.998006344,-0.002696601,0.06305252
8:24:26,2.026583195,1.004894018,2.495743036,0.000327275,-0.997971117,-0.002051886,0.063634031
8:24:26,2.026566982,1.004893899,2.495741844,0.000317217,-0.997977912,-0.00227351,0.063519634
8:24:26,2.026580572,1.004869223,2.495852232,0.000284037,-0.997986913,-0.00220408,0.063381664
8:24:26,2.026580572,1.004878998,2.495806694,0.000317211,-0.997996092,-0.002242386,0.063235879
8:24:26,2.026587248,1.004882693,2.495865107,0.000274264,-0.997986734,-0.002398776,0.06337747
8:24:26,2.026646376,1.005050778,2.495795965,0.000834011,-0.997979939,-0.002582856,0.063472308
8:24:26,2.026560783,1.004887223,2.495802164,0.000330213,-0.997982621,-0.002374082,0.063442126
8:24:26,2.026583195,1.004857063,2.495832682,0.000284447,-0.997989178,-0.002059944,0.063350663
8:24:26,2.026627541,1.005061388,2.495803595,0.000782341,-0.997990012,-0.002637594,0.063312739
8:24:26,2.026648998,1.005060196,2.49565959,0.000791849,-0.997975171,-0.002332577,0.063556843
8:24:26,2.026564121,1.004864097,2.495766163,0.000307386,-0.99797225,-0.002256839,0.0636108
8:24:26,2.026571989,1.004886985,2.495718718,0.000306288,-0.997973502,-0.002223069,0.063592114
8:24:26,2.02656889,1.004866481,2.495784283,0.000305888,-0.997987986,-0.002087838,0.063369587
8:24:26,2.02663517,1.005074024,2.495648384,0.000819717,-0.997967839,-0.002428695,0.063668191
8:24:26,2.026630402,1.005052328,2.495759964,0.000780371,-0.997979641,-0.002593999,0.063477606
8:24:26,2.026569843,1.00488174,2.495765448,0.000249421,-0.997978151,-0.002307889,0.063515723
8:24:26,2.026651621,1.005051255,2.495731831,0.000722211,-0.997982621,-0.002575562,0.063431062
8:24:26,2.026562929,1.00489819,2.495697975,0.00036212,-0.997965515,-0.00214897,0.063720278
8:24:26,2.026578665,1.004903913,2.495742798,0.000262008,-0.997979164,-0.002313525,0.063498907
8:24:26,2.026654482,1.005059481,2.495742321,0.00079726,-0.997986495,-0.002620914,0.063367732
8:24:26,2.026567698,1.004886866,2.495713711,0.000299017,-0.997973263,-0.002232809,0.063595109
8:24:26,2.0266366,1.005065203,2.495660067,0.000832501,-0.997964382,-0.002661082,0.063713655
8:24:26,2.026580095,1.004890442,2.495742083,0.000308704,-0.997983515,-0.002323368,0.063430838
8:24:26,2.026577473,1.004877687,2.495757818,0.000302271,-0.997975588,-0.002336389,0.063555434
8:24:26,2.026580095,1.004887819,2.495688438,0.000302935,-0.997976661,-0.002084563,0.06354668
8:24:26,2.026563168,1.004900098,2.495766878,0.000257346,-0.99799192,-0.002396855,0.063296147
8:24:26,2.026679039,1.005047679,2.495735884,0.000764523,-0.997986615,-0.002569901,0.063368812
8:24:26,2.026569128,1.004897356,2.495682001,0.000309887,-0.997973442,-0.002106958,0.063596286
8:24:26,2.026651382,1.005066752,2.495649338,0.000801426,-0.997967958,-0.002505926,0.063663743
8:24:26,2.02666831,1.005049586,2.495817423,0.000741134,-0.997986615,-0.002774949,0.063361593
8:24:26,2.026579618,1.004880667,2.495820522,0.000267762,-0.997986794,-0.002527687,0.063372709
8:24:26,2.026579618,1.004888296,2.495717049,0.000297681,-0.997970581,-0.002280477,0.06363529
8:24:26,2.026613235,1.004869819,2.495837927,0.000188541,-0.998001456,-0.002477006,0.063141599
8:24:26,2.026669502,1.005063415,2.495720387,0.000741425,-0.997976661,-0.002560581,0.063526921
8:24:27,2.026639938,1.005043626,2.495673418,0.000786548,-0.997975707,-0.002370987,0.063547917
8:24:27,2.026586056,1.004872918,2.495722294,0.000242783,-0.997978985,-0.002193587,0.063506015
8:24:27,2.026638269,1.005063176,2.49574399,0.000832564,-0.997970104,-0.002653157,0.063624397
8:24:27,2.026648521,1.005050778,2.495736361,0.000796375,-0.997973442,-0.002696573,0.063570812
8:24:27,2.026566505,1.004891396,2.495711565,0.000330769,-0.997971952,-0.002075597,0.063621581
8:24:27,2.026656866,1.005050182,2.495780706,0.000793022,-0.997983694,-0.0026019,0.063412622
8:24:27,2.02665329,1.00506103,2.495764971,0.000775147,-0.997986913,-0.002726496,0.063358329
8:24:27,2.026562452,1.004876852,2.495754242,0.000315256,-0.997967362,-0.002369127,0.063683048
8:24:27,2.026641607,1.005067348,2.495773792,0.000797726,-0.997982442,-0.002682873,0.063430153
8:24:27,2.026639462,1.005047441,2.49573493,0.000833005,-0.997978806,-0.002517068,0.063492768
8:24:27,2.026643515,1.005044222,2.495790243,0.000787359,-0.997979343,-0.002668999,0.063478008
8:24:27,2.026558876,1.00488019,2.495729923,0.000335577,-0.997970104,-0.0020485,0.063651279
8:24:27,2.026653528,1.00505197,2.495780945,0.000836886,-0.99797982,-0.002625353,0.063472554
8:24:27,2.026594639,1.004876494,2.495809793,0.000247923,-0.997996509,-0.00234502,0.063225113
8:24:27,2.026600838,1.004879236,2.495790005,0.000193431,-0.997999728,-0.002396817,0.063172549
8:24:27,2.026650906,1.005057573,2.495783567,0.000813017,-0.997981727,-0.002524622,0.063446723
8:24:27,2.026647568,1.005045772,2.495791435,0.000822691,-0.997974217,-0.002645155,0.063560829
8:24:27,2.02664566,1.00505054,2.495747805,0.000837943,-0.997974038,-0.002549615,0.063566759
8:24:27,2.026560545,1.004891515,2.495730877,0.000308132,-0.997973263,-0.002320747,0.063592188
8:24:27,2.026563406,1.00488925,2.495749712,0.000257089,-0.997972667,-0.002279297,0.063603774
8:24:27,2.026655912,1.005039573,2.495806456,0.000776748,-0.997982442,-0.002663105,0.063430756
8:24:27,2.026578665,1.004870534,2.495765448,0.000302654,-0.997968197,-0.00235999,0.063669987
8:24:27,2.026571274,1.004885197,2.495723724,0.000300788,-0.997966468,-0.002140848,0.063705094
8:24:27,2.02658987,1.004871964,2.495761633,0.000271652,-0.99798429,-0.002271991,0.063421547
8:24:27,2.026577234,1.004880071,2.495743513,0.000306066,-0.99796778,-0.002276327,0.063680463
8:24:27,2.026572466,1.004856348,2.49572444,0.000291767,-0.997974038,-0.002051633,0.063589506
8:24:27,2.026557207,1.004879355,2.495701313,0.000284167,-0.99797523,-0.002127236,0.06356921
8:24:27,2.026592731,1.004864693,2.495786667,0.000297663,-0.997982621,-0.002230657,0.063448362
8:24:27,2.026584625,1.004869819,2.495718718,0.000311739,-0.997971714,-0.00208273,0.063623607
8:24:27,2.026589155,1.004863024,2.495754957,0.000300887,-0.997984171,-0.002125933,0.063427687
8:24:27,2.026584625,1.004855156,2.495805025,0.000220594,-0.997986674,-0.002237873,0.063384801
8:24:27,2.026572227,1.004860282,2.495784044,0.000256094,-0.997984052,-0.002309284,0.063423522
8:24:27,2.026656866,1.005021572,2.495815039,0.00076135,-0.997977495,-0.002755802,0.063505292
8:24:27,2.02657485,1.004848599,2.495714903,0.000271387,-0.997969389,-0.002092704,0.063660495
8:24:27,2.026580334,1.004871011,2.495747328,0.000311163,-0.997973144,-0.002156752,0.063600108
8:24:27,2.026568651,1.004864097,2.495770693,0.000323147,-0.997969985,-0.002370847,0.063642524
8:24:27,2.026581287,1.004876614,2.49579072,0.000304294,-0.99797678,-0.002257325,0.063538305
8:24:27,2.026644945,1.005033016,2.495630026,0.000824596,-0.997963667,-0.002368294,0.063736439
8:24:27,2.026564121,1.004885793,2.49572897,0.000311528,-0.997977793,-0.002141416,0.063526504
8:24:27,2.026561737,1.004847169,2.495789528,0.00030525,-0.997975349,-0.00230663,0.063559726
8:24:27,2.026566982,1.004857183,2.495760202,0.000371952,-0.997964978,-0.002252244,0.063724615
8:24:27,2.026638508,1.005041122,2.495722771,0.000821404,-0.997968733,-0.002566727,0.0636499
8:24:27,2.026550531,1.004876971,2.495671749,0.000374232,-0.997959077,-0.002096664,0.063821934
8:24:27,2.02658534,1.004861236,2.495827198,0.000261663,-0.997984529,-0.002434839,0.063410811
8:24:27,2.026561022,1.004873991,2.495772839,0.000319084,-0.997974634,-0.002238905,0.063572541
8:24:27,2.026645422,1.005043864,2.495709896,0.000811836,-0.997973561,-0.002577919,0.063573323
8:24:27,2.026649237,1.005031228,2.49575901,0.000801686,-0.997978389,-0.002469595,0.06350182
8:24:27,2.026560783,1.004863024,2.495753288,0.00036071,-0.997960448,-0.002367627,0.0637917
8:24:27,2.026581764,1.00484848,2.495833158,0.000246997,-0.997996092,-0.002293666,0.063234627
8:24:27,2.026582479,1.00485599,2.495782852,0.000331767,-0.997979403,-0.002130043,0.063502021
8:24:27,2.026572704,1.004878879,2.49579978,0.000284328,-0.997986972,-0.002426269,0.063372552
8:24:27,2.026565552,1.004884839,2.49574399,0.000311607,-0.997987926,-0.002230578,0.063365616
