time,x,y,z,rotation,,,
2022-08-15 9:37:26.204,0.290823489,1.861118913,0.963907301,0.004855076,0.99991852,0.010793476,-0.004796726
2022-08-15 9:37:26.214,0.290869147,1.861076474,0.963973105,0.004470313,0.999923885,0.010524866,-0.004642929
2022-08-15 9:37:26.221,0.290895075,1.861065984,0.963992834,0.004363627,0.999925613,0.010414898,-0.004621931
2022-08-15 9:37:26.229,0.290826797,1.861111879,0.96392417,0.004696108,0.999920309,0.010711879,-0.004753015
2022-08-15 9:37:26.237,0.290802985,1.861148,0.963852584,0.005248696,0.999913216,0.01105777,-0.004872938
2022-08-15 9:37:26.247,0.290823191,1.86114049,0.963858247,0.005307753,0.9999125,0.011104305,-0.00485339
2022-08-15 9:37:26.254,0.290804923,1.861162901,0.963815272,0.005496318,0.99990952,0.011239005,-0.004950398
2022-08-15 9:37:26.262,0.290815592,1.861143112,0.963833392,0.005314544,0.999912202,0.011117515,-0.004890418
2022-08-15 9:37:26.273,0.290795475,1.861193657,0.963748813,0.005897613,0.999903262,0.011579663,-0.004971389
2022-08-15 9:37:26.281,0.290858746,1.861100793,0.963922977,0.004793744,0.999919772,0.010740877,-0.004716253
2022-08-15 9:37:26.287,0.290846348,1.861105919,0.963938355,0.004669126,0.999921024,0.010663436,-0.004751476
2022-08-15 9:37:26.295,0.29085055,1.861104488,0.963932097,0.004743025,0.999920368,0.010685507,-0.004754856
2022-08-15 9:37:26.306,0.290862083,1.861102104,0.963933945,0.004688688,0.999921203,0.010637747,-0.004749323
2022-08-15 9:37:26.307,0.29086706,1.861090302,0.963971972,0.004539976,0.999923229,0.010539615,-0.004677386
2022-08-15 9:37:26.321,0.290884912,1.861081243,0.964003325,0.004256131,0.999926984,0.010306393,-0.004655515
2022-08-15 9:37:26.329,0.290830851,1.861126781,0.963929474,0.004707198,0.999920189,0.01069394,-0.00481124
2022-08-15 9:37:26.337,0.29089272,1.861062765,0.96398443,0.004399929,0.999925613,0.010384903,-0.004639956
2022-08-15 9:37:26.346,0.290864378,1.861088157,0.963962793,0.004562482,0.999923289,0.010517905,-0.00470278
2022-08-15 9:37:26.354,0.290896326,1.861067772,0.964011729,0.004258214,0.999926925,0.010337836,-0.004613491
2022-08-15 9:37:26.355,0.290808678,1.861143708,0.9638834,0.005072812,0.999915123,0.010981585,-0.004842909
2022-08-15 9:37:26.370,0.290868431,1.861092687,0.963957489,0.00461422,0.999922454,0.010577128,-0.004676668
2022-08-15 9:37:26.372,0.290843576,1.861104488,0.963920534,0.00488084,0.99991858,0.010804554,-0.004727935
2022-08-15 9:37:26.383,0.290839761,1.86111629,0.963910758,0.004920928,0.999918103,0.010824764,-0.004746454
2022-08-15 9:37:26.397,0.290800095,1.861184239,0.963811696,0.005611266,0.999907553,0.01136368,-0.004932816
2022-08-15 9:37:26.398,0.290754497,1.861239314,0.963741004,0.005952595,0.999900997,0.011692014,-0.005092231
2022-08-15 9:37:26.407,0.29079777,1.861148477,0.963892579,0.004987772,0.999916255,0.010920414,-0.004827122
2022-08-15 9:37:26.423,0.290820539,1.861124396,0.963918746,0.004793538,0.999918759,0.01080476,-0.004786352
2022-08-15 9:37:26.430,0.29082346,1.861123681,0.963921666,0.004841603,0.99991852,0.010804472,-0.004782605
2022-08-15 9:37:26.438,0.290868968,1.861091375,0.963962495,0.004589274,0.999922812,0.010569389,-0.004662137
2022-08-15 9:37:26.448,0.290804386,1.861184001,0.963798702,0.005669833,0.9999066,0.011407201,-0.004947752
2022-08-15 9:37:26.454,0.290835768,1.8611269,0.963916004,0.004831437,0.999918938,0.010766855,-0.004799168
2022-08-15 9:37:26.456,0.290840566,1.861120701,0.963904321,0.00492155,0.999918103,0.01079998,-0.004782994
2022-08-15 9:37:26.472,0.290863037,1.861086011,0.963934958,0.004779693,0.99992013,0.01071659,-0.004699531
2022-08-15 9:37:26.478,0.290850431,1.861095071,0.963909268,0.004848744,0.999919116,0.010750907,-0.004757752
2022-08-15 9:37:26.487,0.290875047,1.861094832,0.963934243,0.004830319,0.999919474,0.010750955,-0.004700369
2022-08-15 9:37:26.495,0.290826678,1.861115456,0.963897049,0.004968784,0.99991715,0.010875968,-0.004776316
2022-08-15 9:37:26.504,0.290869623,1.861087084,0.963932395,0.004772208,0.999920487,0.010699064,-0.004680946
2022-08-15 9:37:26.512,0.290885001,1.861070514,0.963961959,0.00464463,0.999922156,0.01060324,-0.004650791
2022-08-15 9:37:26.522,0.290856242,1.861106277,0.963883698,0.005093182,0.999916136,0.010914785,-0.00477176
2022-08-15 9:37:26.532,0.290819675,1.861127615,0.963896334,0.004970661,0.999916673,0.010903747,-0.004802582
2022-08-15 9:37:26.533,0.290858984,1.861099839,0.963930845,0.004798647,0.999919951,0.010722073,-0.00470974
2022-08-15 9:37:26.546,0.290920943,1.861051202,0.964005172,0.004330636,0.999926805,0.010341727,-0.004563978
2022-08-15 9:37:26.554,0.290894091,1.86107409,0.963978648,0.004541744,0.999923766,0.010533986,-0.004587525
2022-08-15 9:37:26.562,0.290883422,1.861074209,0.96393311,0.00482453,0.999919772,0.010735587,-0.004679332
2022-08-15 9:37:26.570,0.291502625,1.860772729,0.964195192,0.004786798,0.999930561,0.010212714,-0.003411619
2022-08-15 9:37:26.580,0.290842801,1.861111879,0.963923693,0.004789407,0.999919653,0.010737261,-0.004753226
2022-08-15 9:37:26.587,0.290860325,1.86109376,0.963967323,0.004426186,0.999924242,0.010502438,-0.004664693
2022-08-15 9:37:26.596,0.290889323,1.861075521,0.963988364,0.004357619,0.999925554,0.010428575,-0.004617865
2022-08-15 9:37:26.604,0.290881634,1.861073732,0.964004278,0.004278425,0.999926269,0.010386561,-0.004616356
2022-08-15 9:37:26.613,0.291483462,1.860778928,0.964202404,0.00477914,0.999930978,0.010181056,-0.003394145
2022-08-15 9:37:26.621,0.290875494,1.861073136,0.963983178,0.004391054,0.999924839,0.01046417,-0.004640056
2022-08-15 9:37:26.622,0.291493177,1.860784173,0.96421057,0.004746667,0.999931097,0.010184475,-0.003422131
2022-08-15 9:37:26.637,0.291470706,1.860791564,0.964211524,0.004760694,0.999931931,0.010093974,-0.003406868
2022-08-15 9:37:26.646,0.290868908,1.861080408,0.96399039,0.004362818,0.999925733,0.010396865,-0.004635455
2022-08-15 9:37:26.654,0.290891141,1.861070871,0.963985682,0.004469332,0.9999246,0.010464129,-0.004618724
