time,x,y,z,rotation,,,
2022-08-15 9:42:22.968,0.206168503,1.961946607,0.96412313,0.003537624,0.999842465,0.017156934,-0.002891393
2022-08-15 9:42:22.977,0.206191704,1.9619205,0.964127719,0.003632958,0.999841332,0.017209653,-0.002825053
2022-08-15 9:42:22.985,0.206197456,1.961905599,0.964121401,0.003580397,0.999842465,0.017152546,-0.002835877
2022-08-15 9:42:22.993,0.206224695,1.961889505,0.964114726,0.003568892,0.999842227,0.017167423,-0.002842957
2022-08-15 9:42:23.002,0.206253543,1.961896062,0.96411562,0.003588665,0.999841571,0.017204681,-0.002829717
2022-08-15 9:42:23.009,0.206259638,1.961891294,0.964109898,0.003539837,0.999842465,0.017150497,-0.002892764
2022-08-15 9:42:23.018,0.206310213,1.961887717,0.964119434,0.003542883,0.99984318,0.017116934,-0.002872605
2022-08-15 9:42:23.029,0.206303939,1.961907387,0.964112401,0.003498753,0.99984318,0.017116638,-0.002914767
2022-08-15 9:42:23.034,0.206328928,1.961903214,0.964117289,0.003571401,0.999843061,0.017118158,-0.002872337
2022-08-15 9:42:23.042,0.206319928,1.961909413,0.964113116,0.003599645,0.999842465,0.017140996,-0.002897324
2022-08-15 9:42:23.051,0.206340149,1.96194911,0.964114249,0.003527576,0.99984318,0.017103761,-0.00295786
2022-08-15 9:42:23.059,0.206325322,1.961956501,0.964110255,0.003493439,0.99984324,0.017111637,-0.002925199
2022-08-15 9:42:23.069,0.206310377,1.961962938,0.964115858,0.003529787,0.999843717,0.017077098,-0.002920123
2022-08-15 9:42:23.077,0.206291303,1.961985826,0.964114845,0.003560606,0.999842227,0.017156187,-0.002918406
2022-08-15 9:42:23.085,0.206266314,1.96199429,0.964121222,0.003556709,0.999841988,0.017173896,-0.002895127
2022-08-15 9:42:23.092,0.206222862,1.961996078,0.964128852,0.003591758,0.999841511,0.017199416,-0.002887476
2022-08-15 9:42:23.102,0.206157029,1.961999893,0.964161694,0.003672634,0.999842405,0.017115675,-0.002959993
2022-08-15 9:42:23.109,0.206173092,1.961970329,0.964121461,0.003611907,0.999841332,0.017208878,-0.002868154
